Table,Description,Blank Size,Sheet Size,Blanks Per Sheet,Tables Per Blank,MAGR blank,CHOK blank,Super Pack,Regular Pack,Shape Type,Pallet
MG1401,"DESK TOP 18"" X 24""",,,,,,,,,rect,
MG1607,"DESK TOP 18"" X 24""",,,,,,,,,rect,
MG2207,"ROUND 60""",1549 X 1532,5x10,2,1,MAGR8,CHOK8,,0 PADS(61.375 X 38.125 X 2.5)TD 2 per top/btm,round,70x64
MG2208,"FLOWER 60""",1475 X 1532,5x10,2,1,,,,6 PADS(60.125 X 38.125 X 2.5)TD ,flower,70x64
MG2212,"SQUARE 36""",925 X 1838,5x12,2,2,MAGR4,CHOK4,(40.625 X 40.625 X 2)TD ,0 PADS(38.125 X 38.125 X 2) ,square,40x48
MG2214,"SQUARE 42""",1244 X 2460,4x8,1,2,MAGR FULL,CHOK FULL,(46.75 X 46.75 X 2)TD ,0 PADS(45.375 X 45.375 X 2.5) ,square,51x51
MG2216,"SQUARE 48""",1244 X 2460,4x8,1,2,MAGR FULL,CHOK FULL,(52.625 X 52.625 X 2)TD ,0 PADS(50.125 X 50.125 X 2) ,square,51x51
MG2221,"RECTANGLE 20"" X 54""",1549 X 1380,5x10,2,3,,,,,rect,51x51
MG2224,"RECTANGLE 24"" X 36""",1244 X 917,5x12,4,2,MAGR1,,(40.625 X 28.75 X 2.25)FPF ,4 PADS(38.125 X 26.25 X 2.25)FPF ,rect,40x48
MG2226,"RECTANGLE 24"" X 48""",1244 X 2460,4x8,1,4,MAGR FULL,CHOK FULL,(52.75 X 28.75 X 2.5)FPF ,0 PADS(50.125 X 26.125 X 2)FPF ,rect,40x48 (big orders double stack on 51x51)
MG2227,"HORSESHOE 48"" X 72""",1244 X 1838,5x12,2,1,MAGR3,CHOK3,,10 PADS(74.5 X 50.125 X 2.5)TD ,horseshoe,75x51
MG2228,"RECTANGLE 24"" X 60""",1244 X 1532,5x10,2,2,,,(63.875 X 28.625 X 2.5)TD ,0 PADS(62.375 X 26.125 X 2.5)TD ,rect,64x33 (75x33 cut down)
MG2230,"RECTANGLE 24"" X 72""",1244 X 1838,5x12,2,2,MAGR3,CHOK3,(50 X 28.625 X 2.5)TD 2 per top/btm,0 PADS(74 X 26.125 X 2.5)TD 2 per top/btm,rect,75x33
MG2236,"RECTANGLE 30"" X 48""",1549 X 1224,5x12,3,2,,,(52.75 X 34.625 X 2.5)FPF ,6 PADS(50.25 X 32.375 X 2)FPF ,rect,40x48
MG2237,"RECTANGLE 30"" X 60""",1549 X 1532,5x10,2,2,MAGR8,CHOK8,(64.5 X 34 X 2.5)TD 2 per top/btm,7 PADS(62.38 X 32.25 X 2.5)TD 2 per top/btm,rect,64x33 (75x33 cut down)
MG2238,"RECTANGLE 30"" X 72""",1549 X 1838,5x12,2,2,MAGR7,,(50 X 34.75 X 2.5)TD ,9 PADS(74 X 32.25 X 2.5)TD ,rect,75x33
MG2244,"ROUND 36""",925 X 1838,5x12,2,2,MAGR4,CHOK4,(40.625 X 40.625 X 2)TD 2 per top/btm,4 PADS(38 X 38 X 2)TD 2 per top/btm,round,40x48
MG2245,"ROUND 42""",1244 X 2460,4x8,1,2,MAGR FULL,CHOK FULL,(46.75 X 46.75 X 2)TD ,0 PADS(43.75 X 43.75 X 2)TD ,round,51x51
MG2246,"RECTANGLE 36"" X 48""",1244 X 2460,4x8,1,2,MAGR FULL,CHOK FULL,(52.75 X 40.625 X 2)TD ,,rect,40x48
MG2247,"RECTANGLE 36"" X 60""",1837 X 1532,5x10,2,2,MAGR7,CHOK5,(64.875 X 40.625 X 2.5)TD ,,rect,64x33 with topper to make 64x42
MG2248,"RECTANGLE 36"" X 72""",925 X 1838,5x12,2,1,MAGR4,CHOK4,(50 X 40.625 X 2.5)TD 2 per top/btm,10 PADS(74 X 38.125 X 2.5)TD 2 per top/btm,rect,75x33 with topper to make 75x42
MG2250,"RECTANGLE 42"" X 60""",1080 X 1532,5x10,2,1,,,(64.875 X 46.75 X 2.5)TD ,8 PADS(62.375 X 45.375 X 2.5)TD ,rect,64x33 (75x33 cut down) with topper to make 64x46
MG2265,"CLOVER 48""",1244 X 2460,4x8,1,2,MAGR FULL,CHOK FULL,,,clover,51x51
MG2266,"ROUND 48""",1244 X 2460,4x8,1,2,MAGR FULL,CHOK FULL,(52 X 52 X 2)TD ,4 PADS(49.5 X 49.5 X 2)TD ,round,51x51
MG2267,"KIDNEY 36"" X 72""",925 X 1838,5x12,2,1,MAGR4,CHOK4,,,kidney,
MG2268,"KIDNEY 48"" X 72""",1244 X 1838,5x12,2,1,MAGR3,CHOK3,,7 PADS(74 X 50.125 X 2.5)TD ,kidney,75x51
MG2269,"KIDNEY 48"" X 96""",1244 X 2460,4x8,1,1,MAGR FULL,CHOK FULL,,,kidney,
MG2270,"HORSESHOE 60"" X 66""",1549 X 1838,5x12,2,1,MAGR7,,,10 PADS(62.75 X 38.125 X 2.5)TD 2 per top/btm,horseshoe,70x64
MG2276,"TRAPEZOID 24"" X 24"" X 48""",1244 X 1229,4x8,1,4,MAGR FULL,,(52.625 X 26.875 X 2.5)FPF ,,trap,40x48 (big orders double stack on 51x51)
MG2277,"HALF ROUND 48""",1244 X 2460,4x8,1,4,MAGR FULL,CHOK FULL,(52.75 X 28.625 X 2.5)FPF ,,half round,40x48
MG2279,HALF MOON 36 X 72,,,,,,,,,half moon,
MG2287,"TRAPEZOID 30"" X 30"" X 60""",1549 X 1532,5x10,2,2,MAGR8,CHOK8,(63.25 X 31.75 X 2.5)TD ,6 PADS(62.125 X 29.75 X 2.5)TD ,trap,64x33 (75x33 cut down)
MG2511,"Tabletop  Café 30"" Square",,5x10,,,,,(34.75 X 34.75 X 2.25)FPF ,,square,
MG2512,"Tabletop  Café 36"" Square",925 X 1838,5x12,4,1,MAGR4,CHOK4,(40.625 X 40.625 X 2)TD ,,square,
MG2543,"Tabletop  Café 30"" Round",,5x10,,,,,(34.75 X 34.75 X 2.25)FPF ,,round,
MG2544,"Tabletop  Café 36"" Round",925 X 1838,5x12,4,1,MAGR4,CHOK4,(40.625 X 40.625 X 2)TD ,,round,
